INSPECTION ID,ADDRESS,INSPECTION CATEGORY,INSPECTION SUB CATEGORY,INSPECTION DATE,NARRATIVE,LATITUDE,LONGITUDE,MODIFIED DATE
DOEINS70682,2926 E 126TH ST,AIR QUALITY INSPECTION,,09/01/2005,"
        INVESTIGATOR KAEHLER RECEIVED A COMPLAINT ALLEGING CLOUDS OF DUST ARE BEING EMITTED BY ARROW TERMINAL.  UPON ARRIVAL, I OBSERVED A FRONT END LOADER / OPERATOR SCREENING PIG IRON ORE CAUSING A RUST LIKE DUST PARTICULATE CLOUD TO BE EMITTED INTO THE ATMOSPHERE.  
        I SPOKE AND TOURED THE SITE WITH STEVE CAUDLE, TERMINAL MANGER FOR ARROW TERMINAL.  I HAD STEVE IMMEDIATELY STOP OPERATOR FROM SCREENING UNTIL THE SITE'S WATER TRUCK REFILLS & BEGINS MISTING THE PILE.  ARROW IS A BARGE AND TRUCKING TERMINAL.  THEY RECEIVE FERROUS AND ALLOY METALS.  METALS ARE STORED AND PROCESSED THROUGH CRUSHING AND SCREENING OPERATIONS.  SITE HAS A CURRENT CERTIFICATE OF OPERATIONS # 082281 AND A CURRENT LIMITED BUSINESS LICENSE # 80721.  SITE ALSO HAS A DOT REGISTRATION #031600FDC FOR HAZARDOUS MATERIALS.
        STEVE INFORMED ME ARROW HAS SENT PACKET OF INFORMATION TO DOE INSPECTOR RAFAEL MACIAL REGARDING WHAT THEY HAVE BEEN DOING TO MINIMIZE ATMOSPHERIC POLLUTION.  CURRENTLY, THEY ARE LOOKING INTO 2 DIFFERENT METHODS / TECHNOLOGIES, A FOAMING AGENT & MISTING SYSTEM TO BE INSTALLED FOR THE PIG IRON OPERATIONS.

SITE CONDITIONS:

1.        SITE HAS NUMEROUS STOCK PILES OF PIG IRON STORED ON THE OUTSIDE.  THIS MATERIAL IS ACCESSIBLE TO THE WEATHER AND CAN CAUSE DUST EMISSIONS FROM LOADING THIS TYPE OF MATERIAL INTO TRUCKS.  I REQUESTED STEVE TO IMPLEMENT A PLAN TO MINIMIZE DUST EMISSIONS FROM THE LOADING OPERATIONS OF MATERIAL CONTAINING FINE PARTICLES OF DUST ( SEE PHOTOS #1 & #2 ).

2.        WE PROCEEDED TO INSPECT THE NUMEROUS BUILDINGS USED FOR STORAGE OF METALS.  SOME OF THE METALS STORED INSIDE OF BUILDINGS HAVE FINE DUST PARTICLES THAT CAN BECOME WINDBORNE DURING LOADING OPERATIONS.  I ASKED STEVE HOW ARE THESE TYPES OF MATERIALS ARE LOADED OUT?  STEVE STATED THESE MATERIALS ARE LOADED INTO TRUCKS BY A FRONT END LOADER.  DOORS ARE USUALLY OPEN DURING LOADING OPERATIONS.  I REQUESTED HE KEEP DOORS CLOSED DURING THESE OPERATIONS.

3.        THE SITE'S ROADWAYS ARE MAINLY PAVED WITH ASPHALT OR CONCRETE.  SOME OF THE ROADWAYS ARE PAVED WITH SLAG.  THESE ROADWAYS HAVE AN ACCUMULATION OF DEBRIS SUSCEPTIBLE OF BECOMING WINDBORNE.  STEVE INFORMED THE SITE HAS A STREET SWEEPER AND A OLD FIRE TRUCK USED TO MAINTAIN THE ROADWAYS AND A CHEMICAL SUPPRESSION AGENT IS USED ON THE ROADWAYS TO MINIMIZE ATMOSPHERIC POLLUTION.

        STEVE INFORMED ME THE DISTRICT MANAGERS FOR ARROW TERMINAL ARE DISCUSSING SEVERAL IMPROVEMENTS FOR THE SITE RANGING FROM DEMOLITION OF OLD BUILDINGS AND DUST COLLECTION SYSTEMS FOR CRUSHING & SCREENING OPERATIONS.  I SPOKE WITH COMPLAINANT WHOM INFORMED ME HE OBSERVED CLOUDS OF DUST BEING EMITTED FROM A FRONT END LOADER LOADING PIG IRON INTO A TRUCK.  I REQUESTED STEVE TO IMPLEMENT A SOP FOR THE PIG IRON SCRAP & FORWARD THAT TO DOE AND RECOMMENDED ARROW IMPLEMENT A DUST PLAN FOR ROADWAYS, LOADING & UNLOADING OPERATIONS.  COMPLAINANT NOTIFIED ON MY FINDINGS.                            
                                                SEE ATTACHMENTS",41.6667932637384,-87.5523053918286,01/01/2012
1233168,11630 S FRONT AVE,DOE GENERAL FLOW,DEMOLITION/ASBESTOS,04/11/2018,"The scheduled demolition has been completed. The site has been levelled to grade. 

Photo A) Site",41.68165990819687,-87.61347624351748,04/12/2018
DOEINS90697,3711 S CALIFORNIA AVE,SOLID WASTE INSPECTIONS,,01/16/2004,FACILITY LOOK OKAY.,41.82604051823581,-87.6945572924792,01/01/2012
424163,16 W 64TH ST,DOE WASTE HANDLING,SOLID WASTE INSPECTIONS,11/18/2011,I observed approximately 500 cubic yards of municipal solid waste and approximately 300 cubic yards of recyclable paper and cardboard on the main tipping floor of the facility. There was also approximately 100 cubic yards of construction/demolition waste on the west tipping floor where a staff worker was sorting through it to retreive recyclables. I witnessed the dumping of several loads of solid waste on the main tipping floor and also observed end-waste material being loaded out headed for the landfill. I observed no unusual conditions on the site or nearby public way areas.,41.777756294715964,-87.62597822071335,10/07/2020
DOEINS109521,4545 W GRAND AVE,SOLID WASTE INSPECTIONS,PERMIT/LICENSE FACILITY (RECYCLER),12/02/2008,"THIS WAS A LISTED INSPECTION AT NORTH GRAND AUTO PARTS. WHEN I ARRIVED FOR MY INSPECTION I FOUND THAT THE FACILITY WAS OPEN AND CONDUCTING BUSINESS. WHEN I INSPECTED THE FACILITY I FOUND THAT THERE WERE A COUPLE OF ENGINE BLOCKS ON THE GROUND IN THE GARAGE WITH SOME FLUIDS SURROUNDING THEM. I SPOKE WITH MIKE AND WARNED HIM THAT THIS MUST BE TAKEN CARE OF AND THAT I WOULD BE BACK BY THE END OF THE MONTH TO RE-INSPECT THE FACILITY. THE OUTSIDE WAS OK, FILLED WITH CARS AND WITH ONLY A FEW PARTS ON THE GROUND DUE TO RECENT DISASSEMBLY.",41.91150084874746,-87.74020156596188,01/01/2012
DOEINS57268,2401 S LAFLIN ST,SOLID WASTE INSPECTIONS,PERMIT/LICENSE FACILITY (TRANSFER STATION),06/09/2008,I OBSERVED APPROXIMATRLY 100 CUBIC YARDS OF ORGANIC WASTE BEING STORED UNDER THE CANOPY ROOF AT THE SITE.THERE WERE NO OTHER WASTE HANDLING ACTIVITY IN PROGRESS AND THE SITE CONSTRUCTION PROJECT WAS STILL ONGOING.,41.84850290525709,-87.66336148216482,01/01/2012
DOEINS162734,917 E 78TH ST,AIR QUALITY INSPECTION,,10/23/2002,OBSERVED THE BLDG WAS UNDER REHAB OPERATIONS. CONTRACTORS WERE ON THE SITE & CHEMICAL WASHING THE BLDG. THE FOREMAN LET ME SPEAK TO THE OWNER OF THE CONTRACTING COMPANY THAT WAS PERFORMING THE WORK HE HAD A PERMIT FOR CHEMICAL WASHING.,41.75303561570367,-87.60206759953067,01/01/2012
DOEINS126244,5424 W MONTROSE AVE,AIR QUALITY INSPECTION,AIR/ODOR (MOTOR VEHICLE REPAIR FACILITY),09/21/2007,UPON ARRIVAL I MONITORED FOR FUMES/ODORS DUE TO THEIR SPRAY PAINT OPERATION BUT NONE DETECTED AT THE TIME OF INSPECTION.,41.960639240752116,-87.76335828821973,01/01/2012
DOEINS43118,1948 W CARROLL AVE,SOLID WASTE INSPECTIONS,BUILDING RECYCLING PROGRAM,08/26/1998,NO RECYCLING PROGRAM. 10 DAYS TO COMPLY.,41.88779471519852,-87.67631913429234,01/01/2012
499206,6401 N RIDGE BLVD,TANK INSPECTIONS,STAGE 2 ANNUAL INSPECTION,05/16/2013,DID STAGE 2 INSPECTION AND STATION PASSED AND WAS COMPLIANNT WITH STAGE 2 DURING INSPECTION.,41.9980889165408,-87.67674036828906,05/16/2013
DOEINS15250,12201 S JUSTINE ST,SOLID WASTE INSPECTIONS,C & D RECYCLING PROGRAM,10/09/2009,"A C&D RECYCLING INSPECTION WAS CONDUCTED AT THE ABOVE ADDRESS.  CURRENTLY, THE SUBJECT SITE HAS NOT YET BEEN COMPLETED.  FOR FURTHER DETAILS SEE THE ATTACHED INSPECTION FORM.",41.672053093972536,-87.65984545922775,01/01/2012
DOEINS63579,2600 S KOSTNER AVE,MISCELLANEOUS INSPECTION,A8,09/20/2007,"UPON ARRIVING AT 2600 S. KOSTNER, I THOROUGHLY INSPECTED THE SITE. I FIRST WALKED AROUND THE PERIMETER OF THE SITE & FOUND THE GATES & FENCE TO BE SECURED. I THEN CANVASSED THE INSIDE OF THE PROPERTY & FOUND NO NEW VIOLATIONS OTHER THEN THE ONES THAT ALREADY EXISTED BEFORE. THE LITTLE VILLAGE CHAMBER OF COMMERCE STAGED THEIR MEXICAN INDEPENDENCE DAY CARNIVAL BETWEEN 09/13/07 TO 09/16/07, & CLEANED UP AFTER THEMSELVES REALLY WELL. I ISSUED NO CITATIONS & LEFT THE SITE.",41.84401942178067,-87.73442572997217,01/01/2012
DOEINS144272,6738 W GRAND AVE,HAZMATS,,08/09/2006,RETURNED TO SITE TO CHECK ON THE CLEAN UP OF THE SITE. THE SIDWALK WAS CLEANED AND THE CONTAINER WAS ON THE PARKWAY WAITING TO FOR PICK UP. I CALLED TO PETE BADILLO FOR THE PICK UP TO BE DONE.,41.9237164774706,-87.79426382100712,01/01/2012
DOEINS44678,2000 E 122ND ST,SOLID WASTE INSPECTIONS,PERMIT/LICENSE FACILITY (LANDFILL-CLOSED),10/10/2003,VEGETATION AT REGULATED HEIGHTS. DUST PREVENTION METHODS WERE EXERCISED. NEW FORCE MAIN WORK FOR LEACHATE/METHANE COLLECTION ON THE LANDFILL.,41.67378835745285,-87.57352974030779,01/01/2012
DOEINS107440,4447 W ARMITAGE AVE,HAZMATS,,09/08/2010,"THIS IS A TIER II INSPECTION. I MET WITH MR. DAVID TERESI, THE FACILITY VICE PRESIDENT, I REVIEWED THE REQUIRED CITY OF CHICAGO LICENSES AND THE P2 CERTIFICATE AT THE TIME. THE FACILITY MANUFACTURES OFFICE FURNITURE AND THE FOLLOWING HAZARDOUS MATERIALS WERE OBSERVED ON SITE:50 GALLONS OF SOLVENT BASE STAINS, 5 GALLONS OF ACETONE, 5 GALLONS OF BOOTH COATING, 15 GALLONS OF OIL BASE PAINT, 10 GALLONS OF PAINT THINNER, 5 GALLONS OF SEALER AND 5 GALLONS OF TOP COAT.
THE FACILITY DOES NOT OPERATE A WASTE WATER TREATMENT SYSTEM NOR ARE THEY MONITORED BY MWRD AND IT APPEARS THEY ARE NOT REQUIRED TO FILE A REPORT BECAUSE THEY ARE BELOW THE THRESHOLD LIMIT, THEREFORE, NO FURTHER ACTION IS NEEDED AT THIS TIME.
",41.91691465628362,-87.73824458723239,01/01/2012
DOEINS19451,1301 N ASTOR ST,AIR QUALITY INSPECTION,,10/20/1998,,41.905896854663766,-87.6271813404931,01/01/2012
DOEINS97953,4040 S NORMAL AVE,AIR QUALITY INSPECTION,,03/25/2006,"SITE:  FOOD-PROCESSOR OF FRIED SNACKS.  SEVERAL PREVIOUS VIOLATIONS HAVE BEEN CITED DUE TO PROCESS EMISSIONS AND IMPROPER WASTE DISPOSAL (GREASE ON THE PUBLIC WAY).  SITE PERIODICALLY MONITORED FOR OBVIOUS AND/OR REPEAT VIOLATIONS.

CONDITIONS: THIS DATE, FACILITY OPERATING.  NO OBVIOUS VIOLATIONS NOTED DURING THIS VISIT. 
",41.82054459305479,-87.63868322283591,01/01/2012
DOEINS151871,7531 S ASHLAND AVE,SOLID WASTE INSPECTIONS,C & D RECYCLING PROGRAM,02/24/2009,THIS DEMOLITION IS PART OF A MULTI BUILDING PROJECT. 3 BUILDING AT THE SAME ADDRESS DIFFERENT PERMITS NUMBERS SITE IS 100% COMPLETE,41.75665626934735,-87.66344632276007,01/01/2012
1525603,5700 N ASHLAND AVE,DOE GENERAL FLOW,DEMOLITION/ASBESTOS,03/23/2020,"On March 23, 2020, Senior Environmental Inspector Tracy Ricker conducted a periodic inspection of 5700 N Ashland Av (the former Edgewater Hospital demolition site). At the time of inspection, the site appeared in good condition. No citations were issued in response to this inspection.",41.98515572574687,-87.6700092589944,10/20/2020
430658,2120 W FARRAGUT AVE,LIQUID WASTE SURCHARGE,SOLID WASTE INSPECTIONS,01/27/2012,Currently a residential building.,41.97700311574954,-87.6827582797362,05/02/2019
11862,4400 S WALLACE ST,COMPLAINT RESPONSE,AIR POLLUTION WORK ORDER,08/18/2014,"UPON ARRIVING AT 4400 S. WALLACE ST., ON A 311 CONSTRUCTION/DUST COMPLAIINT, I OBSERVED NO WORK OR DUST. THIS IS A RESIDENTIAL PROPERTY, FOR WHICH I OBSERVED NO DUST OR CONSTRUCTION WORK. I KNOCKED ON THE DOOR  RANG THE BELL BUT NO ONE ANSWERED.",41.814390163527655,-87.64096369859107,08/18/2014
DOEINS35828,1745 W FULTON ST,SOLID WASTE INSPECTIONS,,09/23/2005,"UPON ARRIVING AT THE FACILITY, I TALKED TO THE RECEPTIONIST. SHE TOLD ME THAT MR. WEISS (THE OWNER) WAS NOT THERE. I THEN PROCEEDED TO DO A THOROUGH INSPECTION OF THE FACILITY. I FOUND NO PROBLEMS, THE SITE WAS VERY WELL KEPT. I FOUND NO ENVIRONMENTAL VIOLATIONS.",41.88675170989606,-87.67124749119803,01/01/2012
DOEINS103355,4300 S DR MARTN LUTHR KING JR DR,SOLID WASTE INSPECTIONS,ILLEGAL DUMP (STATE OPEN-DUMP),11/04/2008,"	INSPECTOR LIPMAN PERFORMED A FOLLOW UP INSPECTION OF THE VACANT LOT LOCATED AT 4300-4308 S KING DRIVE.  I PREVIOUSLY ISSUED CITATIONS TO THE SITE OWNER DUE TO FLY DUMPING OF CONSTRUCTION AND DEMOLITION DEBRIS ON THE SITE.  AT THE TIME OF THIS INSPECTION THE SITE FENCE WAS AGAIN DAMAGED WITH ADDITIONAL DUMPING OF CONSTRUCTION AND DEMOLITION DEBRIS.  

	THE REALTOR FOR THE OWNER, KEELY POLCZYNSKI, WAS CONTACTED AND INSTRUCTED THAT THE DEBRIS HAD TO BE REMOVED IN ACCORDANCE WITH ALL STATE, LOCAL AND FEDERAL REGULATIONS IMMEDIATELY IN ORDER TO AVOID FURTHER CITATIONS.  I WILL FOLLOW UP TO DETERMINE THE DEBRIS HAS BEEN PROPERLY REMOVED OR ISSUE CITATIONS IF NECESSARY.",41.81654195521508,-87.61693636881934,01/01/2012
1046644,801 N CICERO AVE,TANK INSPECTIONS,DOE UST UPGRADE INSPECTION,02/08/2017,CONTRACTOR INSTALLED NEW VEEDER ROOT RED JACKET FXIDV LEAK DETECTOR AND REPLACED A LEAKING SHEAR VALVE FOR KEROSENE DISPENSER. PROTANIC WILL COME AND DO AIR TESTING OF LINE. SEE FACTS FOR REPORT.,41.89505398543434,-87.74566176154107,02/09/2017
DOEINS153048,7686 S SOUTH CHICAGO AVE,MISCELLANEOUS INSPECTION,A8,08/28/1997,ROUTINE,41.754944384875635,-87.5905756180517,01/01/2012
DOEINS44157,200 N MICHIGAN AVE,TANK INSPECTIONS,UST ABANDONED,12/26/2006,THE CONTRACTOR CUT OPEN THE HEATING OIL TANK (1 - 10K GALLON). THEN ENTERED IT WITH SUPPLIED AIR AND FOUND THAT THE  TANK WAS ALREADY CLEANING OUT. THE TANK WAS THEN FILLED INERT SLURRY MIX UNTIL FULL. THIS TANK IS NOW ABANDONED-IN-PLACE.,41.885801546318,-87.62465977106316,01/01/2012
DOEINS144472,6747 N ELMHURST RD,MISCELLANEOUS INSPECTION,A8,10/12/2003,TRANSFER STATION INSPECTION.,,,01/01/2012
DOEINS64686,2630 W CORTLAND ST,NOISE,,03/22/2011,"IN RESPONSE TO A COMPLAINT, I ARRIVED TO 2630 W. CORTLAND AT APPROX. 7:28AM. UPON ARRIVAL TO THE SITE I CANVASSED THE AREA FOR NOISE FROM CONSTRUCTION ACTIVITIES. NO CONSTRUCTION ACTIVITY OR NOISE WAS DETECTED AT THIS LOCATION.",41.915814309588946,-87.69353808964664,01/01/2012
5710799,4800 S CHAMPLAIN AVE,COMPLAINT RESPONSE,ILLEGAL DUMPING WORK ORDER,05/14/2018,OBSERVED WOOD FENCING AND 2X4 WOOD PIECES ON THE REAR SECTION OF THE VACANT LOT AT 4801 S. CHAMPLAIN. THE LOT IS UNSECURED AND OPEN TO UNLAWFUL ENTRY. THE WOOD FENCE WAS STACKED AS IF IT WAS GOING TO BE REUSED ON THE SITE. THE OWNER OF THE LOT WAS NOT AVAILABLE. I WILL CONTACT THE OWNER TO REMOVE THE WOOD FENCE.,41.807568132075374,-87.61030717470717,05/14/2018
DOEINS52764,2242 W HARRISON ST,MISCELLANEOUS INSPECTION,A8,04/26/2007,STAT LABS.,41.874048813132745,-87.68305713894242,01/01/2012
DOEINS61368,2509 S HOMAN AVE,DEMOLITION/ASBESTOS,,06/09/2009,DEMOLITION 100% COMPLETE,41.845948409309955,-87.70980174557047,01/01/2012
DOEINS127528,551 W 124TH ST,MISCELLANEOUS INSPECTION,A8,05/09/2005,VISUAL,41.66866877828825,-87.63627123609638,01/01/2012
DOEINS68827,2817 W FILLMORE ST,DEMOLITION/ASBESTOS,RENOVATION/NESHAPS,04/13/2000,,41.86821504994098,-87.69674633363671,01/01/2012
DOEINS109070,4535 N KEDZIE AVE,DEMOLITION/ASBESTOS,,10/24/2002,DEMO NO ACTIVITY.,41.96405483275474,-87.7081893219363,01/01/2012
DOEINS104179,4321 N HAMLIN AVE,HAZMATS,,06/29/2004,INSPECTOR NOTIFIED CHRIS FROM HERITAGE TO REMOVA AND DISPOSE THE GASOLINE.,41.95984641407432,-87.72274704869835,01/01/2012
DOEINS151890,7535 N HERMITAGE AVE,DEMOLITION/ASBESTOS,,10/30/2001,DEMO NO ACTIVITY.,,,01/01/2012
481796,11700 S STONY ISLAND AVE,DOE GENERAL FLOW,MISC INSPECTIONS,12/06/2012,"An inspection was conducted at the above address. The Department of Environment has applied and received a general NPDES permit from the IEPA for storm water discharge associated with industrial activity from construction and stock pile activities.


My duty consists of inspecting the disturbed (stock piles clay) areas that have not been finally stabilized, structurally controlled and locations where vehicles enter or exit the site once every 7 days. Also an inspection will be conducted within 24 hours of the end of a storm that is .5 inches or greater or equivalent snowfall. 



Site Observations:

67,500 cubic yards of stockpiled clay

Silt fencing surrounding the perimeter of the stockpiles

Evidence of erosion observed

No trackout observed

No run-off observed<SPAN style='mso-spacerun: yes'",41.68272528398562,-87.57609667602497,05/04/2015
DOEINS61011,2501 N KEELER AVE,NOISE,,09/18/2000,NOTIFICATION SHOULD BE GIVEN TO THE COMPANY DUE TO THE NOISE BEING AUDIBL.E FOR SUCH A GREAT DISTANCE. WAS UNABLE TO PHOTOGRAPH THE NOISE SERV,41.92634346021461,-87.73157912128703,01/01/2012
8881,319 W 40TH PL,COMPLAINT RESPONSE,AIR POLLUTION WORK ORDER,01/05/2014,"UPON ARRIVING AT SOUDAN METALS CO. INC., ON A 311 STRONG FUMES COMPLAINT, I INTERVIEWED THE OWNER THOMAS SOUDAN. THEY HAD A REQUIRED LB LICENSE #14213. I THEN WENT THROUGH THE PLANT  OBSERVED NO FUMES//PAINT ODORS. I DID SMELLED VERY FAINTLY, A GREASE LIKE ODOR. I WILL CLOSE OUT THE COMPLAINT.",41.8206652721269,-87.63389509160504,01/05/2014
DOEINS162629,915 W 38TH ST,AIR QUALITY INSPECTION,,07/15/1998,INSPECTORS WERE ON SITE FOR TWENTY MINUTES TO DETECT FOUL ODORS & NOISE NONE WERE DETECTED.,41.82542243373387,-87.64825089012639,01/01/2012
DOEINS144067,6707 N CLARK ST,AIR QUALITY INSPECTION,AIR/ODOR (MOTOR VEHICLE REPAIR FACILITY),09/06/2006,"THIS IS A BODY SHOP LICENCE INSPECTION FOLLOW UP FOR THE P2INSTALLATION PERMITS, ETC.",42.00376771118742,-87.67241449096794,01/01/2012
DOEINS61877,2524 N ASHLAND AVE,SOLID WASTE INSPECTIONS,C & D RECYCLING PROGRAM,10/24/2008,RESPONDED FAILED TO RECYCLE C & D DEBRIS PRODUCED AT THE SITE. RESPONDED FAILED TO TURN IN C & D DEBRIS RECYCLING DOCUMENTATION.,41.9277266488865,-87.66838262575696,01/01/2012
DOEINS64311,2617 W CERMAK RD,TANK INSPECTIONS,UST MISCELLANEOUS,03/02/2000,UST SITE (CLEAN-UP),41.851849723062315,-87.6912718815351,01/01/2012
421720,5645 W ADDISON ST,DOE AIR QUALITY,AIR QUALITY INSPECTION,,From Conversion,41.94574757468233,-87.7685382793401,01/01/2019
516757,222 E PEARSON ST,DOE GENERAL FLOW,AIR QUALITY INSPECTION,10/16/2013,This is a survey of the vicinity of the above address for the anti idling inspection of diesel powered vehicles. As at this time of my inspection or survey no diesel powered vehicle observed idling.,41.897739439040045,-87.62089543784585,06/27/2016
DOEINS10939,11542 S PRINCETON AVE,MISCELLANEOUS INSPECTION,A8,06/18/2001,CHECKED FOR CONST PERMIT.,41.68395366778262,-87.6301954158698,01/01/2012
DOEINS137586,6209 W DIVERSEY AVE,AIR QUALITY INSPECTION,,09/30/2008,"NO EMISSIONS OBSERVED DURING AN ENGINEER'S VISIT. PROBLEM OCCURS AT NIGHT, AND THIS SITE SHOULD BE INSPECTED BY NIGHT INSPECTOR.",41.93095535180958,-87.78119829671157,01/01/2012
DOEINS105387,4400 N LAKE SHORE DR,MISCELLANEOUS INSPECTION,A8,03/04/2009,S&S SALT PILE INSPECTION.,41.96202715553654,-87.64663966128018,01/01/2012
DOEINS116112,4848 N WINTHROP AVE,SOLID WASTE INSPECTIONS,BUILDING RECYCLING PROGRAM RE-INSPECTION,10/15/2010,RECYCLING INSPECTION PERFORMED. THE BUILDING HAS AN ACTIVE RECYCLING PROGRAM AND IS COMPLIANT AT THIS TIME.,41.97048400251602,-87.65780618896973,01/01/2012
DOEINS137022,618 E 38TH ST,DEMOLITION/ASBESTOS,,02/08/2006,100% GRADE LEVEL.,41.825841011472,-87.61141955683928,01/01/2012
DOEINS7921,111 N LAKE SHORE DR,TANK INSPECTIONS,UST INSTALL,05/24/2000,,41.88306562263734,-87.61545613448831,01/01/2012
DOEINS63623,2600 S STATE ST,DEMOLITION/ASBESTOS,,01/27/2006,DEMO IN PROGRESS 90% DOWN.,41.845520397464824,-87.62710659199742,01/01/2012
DOEINS3365,1030 W JACKSON BLVD,NOISE,,04/10/2006,"COMPLAINT OF REFRIGERATED TRUCK NOISE:

THIS ASSESSMENT FOUND TRUCKS PARKED IN THE LOADING DOCK AREA OF THE FACILITY, HOWEVER NO ENGINES OR REFRIGERATED UNITS WERE IN OPERATION AT THIS TIME.

MONITORING WILL CONTINUE AS SCHEDULE PERMITS.",41.87796100969078,-87.6531669590573,01/01/2012
536908,350 E SOUTH WATER ST,TANK INSPECTIONS,A7J AST INSTALL,06/16/2014,THE 150-GALLON AST WAS INSTALLED PER APPLICATION FOR EMERGENCY GENERATOR.,41.8866149095058,-87.61896496436381,06/16/2014
DOEINS123148,5245 W GRAND AVE,AIR QUALITY INSPECTION,AIR/ODOR (MOTOR VEHICLE REPAIR FACILITY),05/29/2003,,41.91713303101041,-87.75760335656416,01/01/2012
DOEINS75353,3110 W BELMONT AVE,DEMOLITION/ASBESTOS,,07/25/2006,DEMO NO ACTIVITY.,41.9394591641483,-87.70549696898092,01/01/2012
1264551,2006 W GARFIELD BLVD,DOE GENERAL FLOW,TANK INSPECTIONS,06/21/2018,Completed log of self service station inspection. Permit to dispense motor fuel expires 12/31/2020. See FACTS report,41.79402269355312,-87.67463755980062,06/21/2018
DOEINS144563,6747 N ELMHURST RD,SOLID WASTE INSPECTIONS,PERMIT/LICENSE FACILITY (TRANSFER STATION),12/11/2006,"I OBSERVED APPROXIAMTELY 1,000 CUBIC YARDS OF MIXED WASTE ON THE CONVEYER IN THE AREA DESIGNATED FOR THE PROCESSING OF THIS WASTE. WHILE CONDUCTING THE INSPECTION I WITNESSED THE DELIVERY AND DUMPING OF M.S.W ON THE MAIN TIPPING FLOOR AND CONSTANT HOUSEKEEPING DUTIES IN PROGRESS. I OBSERVED NO ODORS, DUST EMISSIONS OR SCATTERING OF DEBRIS OR LITTER WHILE ON SITE.",,,01/01/2012
817979,1810 W 35TH ST,DOE GENERAL FLOW,TANK INSPECTIONS,08/19/2016,See State log dispensing report in facts issued permit will expire 12-31-2018,41.83055260947709,-87.67085653198599,08/22/2016
DOEINS158078,836 W NELSON ST,TANK INSPECTIONS,UST INSTALL,08/03/2009,THE   CONTRACTOR   HAS   INSTALLED   (  320  )  FEET  OF   DOUBLE   WALL   FIBERGLASS  PIPING.   THE  PSI   HELD   AT  ( 30 )   FOR  OVER   30  MINUTES.   PERMIT  #  109922.,41.93734763073385,-87.6510133792972,01/01/2012
