nid,Sequence,Judge Name,Court Type,Court Name,Appointment Title,Appointing President,Party of Appointing President,Reappointing President,Party of Reappointing President,ABA Rating,Seat ID,Statute Authorizing New Seat,Recess Appointment Date,Nomination Date,Committee Referral Date,Hearing Date,Judiciary Committee Action,Committee Action Date,Senate Vote Type,Ayes/Nays,Confirmation Date,Commission Date,"Service as Chief Judge, Begin","Service as Chief Judge, End","2nd Service as Chief Judge, Begin","2nd Service as Chief Judge, End",Senior Status Date,Termination,Termination Date
1392706,1,"Agee, G. Steven",U.S. Court of Appeals,U.S. Court of Appeals for the Fourth Circuit,Judge,George W. Bush,Republican,,,Well Qualified,CA41402, ,,2008-03-13,2008-03-13,2008-05-01,Reported (favorably),2008-05-15,Roll Call, 96/0,2008-05-20,2008-07-01,,,,,,,
1377046,1,"Aguilar, Robert Peter",U.S. District Court,U.S. District Court for the Northern District of California,Judge,Jimmy Carter,Democratic,,,Qualified,CAND1501,92 Stat. 1629,,1980-04-03,1980-04-15,1980-05-15,Reported (favorably),1980-06-17,Voice,  ,1980-06-18,1980-06-18,,,,,1996-04-15,Retirement,1996-06-24
1390586,1,"Aiken, Ann L.",U.S. District Court,U.S. District Court for the District of Oregon,Judge,William J. Clinton,Democratic,,,Qualified,ORD0402, ,,1997-01-07,1997-01-07,1997-10-28,Reported (favorably),1997-11-06,Roll Call, 67/30,1998-01-28,1998-02-04,2009,2016,,,,,
1377061,1,"Alaimo, Anthony A.",U.S. District Court,U.S. District Court for the Southern District of Georgia,Judge,Richard M. Nixon,Republican,,,Qualified,GASD0301,84 Stat. 294,,1971-11-29,1971-11-29,1971-12-02,Reported (favorably),1971-12-02,Voice,  ,1971-12-02,1971-12-09,1976,1990,,,1991-07-01,Death,2009-12-30
1377066,1,"Alarcón, Arthur Lawrence",U.S. Court of Appeals,U.S. Court of Appeals for the Ninth Circuit,Judge,Jimmy Carter,Democratic,,,Qualified,CA91901,92 Stat. 1629,,1979-08-28,1979-09-05,1979-10-03,Reported (favorably),1979-10-30,Voice,  ,1979-10-31,1979-11-02,,,,,1992-11-21,Death,2015-01-28
5198506,1,"Albright, Alan D",U.S. District Court,U.S. District Court for the Western District of Texas,Judge,Donald J. Trump,Republican,,,Well Qualified,TXWD0702,,,2018-01-24,2018-01-24,2018-04-25,Reported (favorably),2018-05-24,Voice,,2018-09-06,2018-09-10,,,,,,,
1377071,1,"Albritton, William Harold III",U.S. District Court,U.S. District Court for the Middle District of Alabama,Judge,George H.W. Bush,Republican,,,Well Qualified,ALMD0303, ,,1991-03-11,1991-03-11,1991-04-24,Reported (favorably),1991-05-09,Voice,  ,1991-05-09,1991-05-14,1998,2004,,,2004-05-17,,
1377081,1,"Aldrich, Ann",U.S. District Court,U.S. District Court for the Northern District of Ohio,Judge,Jimmy Carter,Democratic,,,Qualified,OHND1201,92 Stat. 1629,,1980-03-28,1980-03-28,1980-04-21,Reported (favorably),1980-05-20,Voice,  ,1980-05-21,1980-05-24,,,,,1995-05-12,Death,2010-05-02
1377096,1,"Alesia, James Henry",U.S. District Court,U.S. District Court for the Northern District of Illinois,Judge,Ronald Reagan,Republican,,,Qualified,ILND0405, ,,1987-02-02,1987-02-02,1987-04-28,Reported (favorably),1987-05-19,Voice,  ,1987-05-19,1987-05-20,,,,,1998-02-01,Death,2003-07-24
1377101,1,"Alito, Samuel A., Jr.",U.S. Court of Appeals,U.S. Court of Appeals for the Third Circuit,Judge,George H.W. Bush,Republican,,,Well Qualified,CA30505, ,,1990-02-20,1990-02-20,1990-04-05,Reported (favorably),1990-04-26,Voice,  ,1990-04-27,1990-04-30,,,,,,Appointment to Another Judicial Position,2006-01-31
1377101,2,"Alito, Samuel A., Jr.",Supreme Court,Supreme Court of the United States,Associate Justice,George W. Bush,Republican,,,Well Qualified,SCT0911, ,,2005-11-10,2005-11-10,2006-01-13,Reported (favorably),2006-01-24,Roll Call, 58/42,2006-01-31,2006-01-31,,,,,,,
1393701,1,"Allen, Arenda Lauretta Wright",U.S. District Court,U.S. District Court for the Eastern District of Virginia,Judge,Barack Obama,Democratic,,,Qualified,VAED0504, ,,2011-01-05,2011-01-05,2011-02-16,Reported (favorably),2011-03-10,Roll Call, 96/0,2011-05-11,2011-05-12,,,,,,,
1377106,1,"Allen, Charles Mengel",U.S. District Court,U.S. District Court for the Western District of Kentucky,Judge,Richard M. Nixon,Republican,,,Well Qualified,KYWD0302, ,,1971-11-17,1971-11-17,1971-11-23,Reported (favorably),1971-11-23,Voice,  ,1971-11-23,1971-11-30,1977,1985,,,1985-10-01,Death,2000-01-04
1377121,1,"Alley, Wayne Edward",U.S. District Court,U.S. District Court for the Western District of Oklahoma,Judge,Ronald Reagan,Republican,,,Qualified,OKWD0701,98 Stat. 333,,1985-05-29,1985-05-30,1985-06-19,Reported (favorably),1985-06-20,Voice,  ,1985-07-10,1985-07-11,,,,,1999-05-16,,
1394711,1,"Alonso, Jorge Luis",U.S. District Court,U.S. District Court for the Northern District of Illinois,Judge,Barack Obama,Democratic,,,Qualified,ILND2103, ,,2014-08-05,2014-08-05,2014-09-09,Reported (favorably),2014-11-20,Voice,  ,2014-12-16,2014-12-19,,,,,,,
1377141,1,"Alsop, Donald Douglas",U.S. District Court,U.S. District Court for the District of Minnesota,Judge,Richard M. Nixon,Republican,,,Well Qualified,MND0503, ,,1974-08-08,1974-08-08,1974-11-19,Reported (favorably),1974-12-17,Voice,  ,1974-12-18,1974-12-20,1985,1992,,,1992-08-28,,
6586021,1,"Alston, Rossie David, Jr.",U.S. District Court,U.S. District Court for the Eastern District of Virginia,Judge,Donald J. Trump,Republican,,,Qualified,VAED0903,,,2019-01-23,2019-01-23,,Reported (favorably),2019-02-07,Roll Call, 75/20,2019-06-10,2019-06-12,,,,,,,
1390971,1,"Alsup, William Haskell",U.S. District Court,U.S. District Court for the Northern District of California,Judge,William J. Clinton,Democratic,,,Well Qualified,CAND0704, ,,1999-03-24,1999-03-24,1999-07-13,Reported (favorably),1999-07-22,Voice,  ,1999-07-30,1999-08-17,,,,,,,
1377146,1,"Altimari, Frank X.",U.S. District Court,U.S. District Court for the Eastern District of New York,Judge,Ronald Reagan,Republican,,,Qualified,NYED0404, ,,1982-11-23,1982-11-29,1982-12-06,Reported (favorably),1982-12-08,Voice,  ,1982-12-10,1982-12-10,,,,,,Appointment to Another Judicial Position,1985-12-23
1377146,2,"Altimari, Frank X.",U.S. Court of Appeals,U.S. Court of Appeals for the Second Circuit,Judge,Ronald Reagan,Republican,,,Qualified,CA20108, ,,1985-10-23,1985-10-23,1985-11-06,Reported (favorably),1985-11-14,Voice,  ,1985-12-16,1985-12-17,,,,,1996-01-01,Death,1998-07-19
6244926,1,"Altman, Roy Kalman",U.S. District Court,U.S. District Court for the Southern District of Florida,Judge,Donald J. Trump,Republican,,,Well Qualified,FLSD1303,,,2019-01-23,2019-01-23,,Reported (favorably),2019-02-07,Roll Call, 66/33,2019-04-04,2019-04-09,,,,,,,
1391821,1,"Altonaga, Cecilia M.",U.S. District Court,U.S. District Court for the Southern District of Florida,Judge,George W. Bush,Republican,,,Qualified,FLSD2003, ,,2003-01-15,2003-01-15,2003-04-01,Reported (favorably),2003-04-10,Roll Call, 91/0,2003-05-06,2003-05-07,,,,,,,
1392236,1,"Alvarez, Micaela",U.S. District Court,U.S. District Court for the Southern District of Texas,Judge,George W. Bush,Republican,,,Qualified,TXSD0903, ,,2004-06-16,2004-06-16,2004-09-08,Reported (favorably),2004-09-30,Voice,  ,2004-11-20,2004-12-13,,,,,,,
1391086,1,"Ambro, Thomas L.",U.S. Court of Appeals,U.S. Court of Appeals for the Third Circuit,Judge,William J. Clinton,Democratic,,,Well Qualified,CA31302, ,,1999-09-28,1999-09-29,1999-11-10,Reported (favorably),1999-11-17,Roll Call, 96/2,2000-02-10,2000-02-16,,,,,,,
1377156,1,"Ambrose, Donetta W.",U.S. District Court,U.S. District Court for the Western District of Pennsylvania,Judge,William J. Clinton,Democratic,,,Well Qualified,PAWD0603, ,,1993-10-25,1993-10-25,1993-11-16,Reported (favorably),1993-11-18,Voice,  ,1993-11-20,1993-11-24,2002,2009,,,2010-11-05,,
1377166,1,"Amon, Carol Bagley",U.S. District Court,U.S. District Court for the Eastern District of New York,Judge,George H.W. Bush,Republican,,,Well Qualified,NYED0902, ,,1990-05-18,1990-05-21,1990-07-19,Reported (favorably),1990-07-26,Voice,  ,1990-08-03,1990-08-07,2011,2016,,,2016-11-30,,
1377171,1,"Andersen, Wayne R.",U.S. District Court,U.S. District Court for the Northern District of Illinois,Judge,George H.W. Bush,Republican,,,Qualified,ILND0804, ,,1991-07-24,1991-07-24,1991-11-05,Reported (favorably),1991-11-15,Voice,  ,1991-11-15,1991-11-18,,,,,,Retirement,2010-07-31
1377181,1,"Anderson, Aldon Junior",U.S. District Court,U.S. District Court for the District of Utah,Judge,Richard M. Nixon,Republican,,,Qualified,UTD0202, ,,1971-06-17,1971-06-17,1971-06-29,Reported (favorably),1971-07-21,Voice,  ,1971-07-22,1971-07-22,1978,1984,,,1984-12-20,Death,1996-03-24
1377186,1,"Anderson, George Ross, Jr.",U.S. District Court,U.S. District Court for the District of South Carolina,Judge,Jimmy Carter,Democratic,,,Qualified,SCD0202, ,,1980-04-18,1980-04-18,1980-05-01,Reported (favorably),1980-05-20,Voice,  ,1980-05-21,1980-05-23,,,,,2009-01-29,Retirement,2016-03-01
1377201,1,"Anderson, J. Blaine",U.S. District Court,U.S. District Court for the District of Idaho,Judge,Richard M. Nixon,Republican,,,Well Qualified,IDD0202, ,,1971-12-01,1971-12-01,1971-12-04,Reported (favorably),1971-12-04,Voice,  ,1971-12-04,1971-12-09,,,,,,Appointment to Another Judicial Position,1976-07-23
1377201,2,"Anderson, J. Blaine",U.S. Court of Appeals,U.S. Court of Appeals for the Ninth Circuit,Judge,Gerald Ford,Republican,,,Qualified,CA90308, ,,1976-06-18,1976-06-18,1976-06-30,Reported (favorably),1976-06-30,Voice,  ,1976-07-02,1976-07-02,,,,,,Death,1988-04-16
1377206,1,"Anderson, Joseph Fletcher, Jr.",U.S. District Court,U.S. District Court for the District of South Carolina,Judge,Ronald Reagan,Republican,,,Qualified,SCD0402, ,,1986-09-26,1986-09-26,1986-10-01,Reported (favorably),1986-10-02,Voice,  ,1986-10-08,1986-10-14,2000,2007,,,2014-11-16,,
1391476,1,"Anderson, Percy",U.S. District Court,U.S. District Court for the Central District of California,Judge,George W. Bush,Republican,,,Well Qualified,CACD0304, ,,2002-01-23,2002-01-23,2002-04-11,Reported (favorably),2002-04-18,Roll Call, 99/0,2002-04-25,2002-05-01,,,,,,,
1377211,1,"Anderson, R[obert] Lanier III",U.S. Court of Appeals,U.S. Court of Appeals for the Fifth Circuit,Judge,Jimmy Carter,Democratic,,,Well Qualified,CA51801,92 Stat. 1629,,1979-04-18,1979-04-23,1979-06-25,Reported (favorably),1979-07-10,Voice,  ,1979-07-12,1979-07-13,,,,,,Reassignment,1981-10-01
1392701,1,"Anderson, Stanley Thomas",U.S. District Court,U.S. District Court for the Western District of Tennessee,Judge,George W. Bush,Republican,,,Qualified,TNWD0502, ,,2007-09-06,2007-09-06,2008-02-21,Reported (favorably),2008-03-06,Voice,  ,2008-04-10,2008-05-21,2017,,,,,,
1377221,1,"Anderson, Stephen Hale",U.S. Court of Appeals,U.S. Court of Appeals for the Tenth Circuit,Judge,Ronald Reagan,Republican,,,Well Qualified,CA100901,98 Stat. 333,,1985-07-23,1985-07-23,1985-09-11,Reported (favorably),1985-09-12,Voice,  ,1985-10-16,1985-10-16,,,,,2000-01-01,,
1393846,1,"Andrews, Richard Gibson",U.S. District Court,U.S. District Court for the District of Delaware,Judge,Barack Obama,Democratic,,,Well Qualified,DED0402, ,,2011-05-11,2011-05-11,2011-07-13,Reported (favorably),2011-09-08,Voice,  ,2011-11-03,2011-11-07,,,,,,,
1392776,1,"Anello, Michael M.",U.S. District Court,U.S. District Court for the Southern District of California,Judge,George W. Bush,Republican,,,Well Qualified,CASD2103, ,,2008-04-30,2008-04-30,2008-09-09,Reported (favorably),2008-09-25,Voice,  ,2008-09-26,2008-10-10,,,,,2018-10-31,,
1391121,1,"Antoon, John II",U.S. District Court,U.S. District Court for the Middle District of Florida,Judge,William J. Clinton,Democratic,,,Well Qualified,FLMD0104, ,,2000-02-09,2000-02-10,2000-03-23,Reported (favorably),2000-04-12,Voice,  ,2000-05-24,2000-05-31,,,,,2013-06-03,,
1392821,1,"Aquilino, Thomas Joseph, Jr.",Other,U.S. Court of International Trade,Judge,Ronald Reagan,Republican,,,Qualified,CIT0402, ,,1985-02-25,1985-02-25,,Reported (favorably),1985-04-03,Voice,  ,1985-04-03,1985-04-04,,,,,2004-12-10,,
1377241,1,"Arcara, Richard Joseph",U.S. District Court,U.S. District Court for the Western District of New York,Judge,Ronald Reagan,Republican,,,Well Qualified,NYWD0106, ,,1987-08-07,1987-08-07,1988-01-27,Reported (favorably),1988-02-04,Voice,  ,1988-02-19,1988-02-22,2003,2010,,,2015-01-03,,
1377246,1,"Arceneaux, George, Jr.",U.S. District Court,U.S. District Court for the Eastern District of Louisiana,Judge,Jimmy Carter,Democratic,,,Well Qualified,LAED1301,92 Stat. 1629,,1979-06-12,1979-06-12,1979-07-23,Reported (favorably),1979-09-11,Voice,  ,1979-09-25,1979-09-26,,,,,,Death,1993-04-06
1377256,1,"Archer, Glenn Leroy, Jr.",U.S. Court of Appeals,U.S. Court of Appeals for the Federal Circuit,Judge,Ronald Reagan,Republican,,,Qualified,CAFC0502, ,,1985-10-16,1985-10-16,1985-11-06,Reported (favorably),1985-11-14,Voice,  ,1985-12-16,1985-12-17,1994,1997,,,1997-12-24,Death,2011-07-27
1392786,1,"Arguello, Christine M.",U.S. District Court,U.S. District Court for the District of Colorado,Judge,George W. Bush,Republican,,,Qualified,COD0603, ,,2008-07-10,2008-07-10,2008-09-09,Reported (favorably),2008-09-25,Voice,  ,2008-09-26,2008-10-21,,,,,,,
6385001,1,"Arias-Marxuach, Raúl Manuel",U.S. District Court,U.S. District Court for the District of Puerto Rico,Judge,Donald J. Trump,Republican,,,Well Qualified,PRD0104,,,2019-01-23,2019-01-23,,Reported (favorably),2019-02-07,Roll Call, 95/3,2019-05-02,2019-05-13,,,,,,,
1394671,1,"Arleo, Madeline Cox",U.S. District Court,U.S. District Court for the District of New Jersey,Judge,Barack Obama,Democratic,,,Well Qualified,NJD1504, ,,2014-06-26,2014-06-26,2014-07-29,Reported (favorably),2014-09-18,Voice,  ,2014-11-20,2014-11-21,,,,,,,
1391326,1,"Armijo, M. Christina",U.S. District Court,U.S. District Court for the District of New Mexico,Judge,George W. Bush,Republican,,,Qualified,NMD0701,114 Stat. 2762,,2001-09-04,2001-09-04,2001-10-18,Reported (favorably),2001-11-01,Roll Call, 100/0,2001-11-06,2001-11-12,2012,2018,,,2018-02-07,,
1377261,1,"Armstrong, Saundra Brown",U.S. District Court,U.S. District Court for the Northern District of California,Judge,George H.W. Bush,Republican,,,Qualified,CAND1003, ,,1991-04-25,1991-04-25,1991-06-05,Reported (favorably),1991-06-13,Voice,  ,1991-06-14,1991-06-18,,,,,2012-03-23,,
1377266,1,"Arnold, Morris Sheppard",U.S. District Court,U.S. District Court for the Western District of Arkansas,Judge,Ronald Reagan,Republican,,,Qualified,ARWD0501,98 Stat. 333,,1985-10-23,1985-10-23,1985-11-06,Reported (favorably),1985-11-14,Voice,  ,1985-12-16,1985-12-17,,,,,,Appointment to Another Judicial Position,1992-06-01
1377266,2,"Arnold, Morris Sheppard",U.S. Court of Appeals,U.S. Court of Appeals for the Eighth Circuit,Judge,George H.W. Bush,Republican,,,Well Qualified,CA80903, ,,1991-11-06,1991-11-06,1992-05-14,Reported (favorably),1992-05-21,Voice,  ,1992-05-21,1992-05-26,,,,,2006-10-09,,
1377271,1,"Arnold, Richard Sheppard",U.S. District Court,U.S. District Court for the Eastern District of Arkansas,Judge,Jimmy Carter,Democratic,,,Well Qualified,ARED0204, ,,1978-08-14,1978-08-14,1978-09-06,Reported (favorably),1978-09-20,Voice,  ,1978-09-20,1978-09-22,,,,,,Appointment to Another Judicial Position,1980-03-07
1377271,2,"Arnold, Richard Sheppard",U.S. District Court,U.S. District Court for the Western District of Arkansas,Judge,Jimmy Carter,Democratic,,,Well Qualified,ARWD0304, ,,1978-08-14,1978-08-14,1978-09-06,Reported (favorably),1978-09-20,Voice,  ,1978-09-20,1978-09-22,,,,,,Appointment to Another Judicial Position,1980-03-07
1377271,3,"Arnold, Richard Sheppard",U.S. Court of Appeals,U.S. Court of Appeals for the Eighth Circuit,Judge,Jimmy Carter,Democratic,,,Exceptionally Well Qualified,CA81201,92 Stat. 1629,,1979-12-19,1979-12-19,1980-02-07,Reported (favorably),1980-02-19,Voice,  ,1980-02-20,1980-02-20,1992,1998,,,2001-04-01,Death,2004-09-23
1377286,1,"Aronovitz, Sidney Myer",U.S. District Court,U.S. District Court for the Southern District of Florida,Judge,Gerald Ford,Republican,,,Qualified,FLSD0703, ,,1976-08-04,1976-08-04,1976-09-08,Reported (favorably),1976-09-16,Voice,  ,1976-09-17,1976-09-21,,,,,1988-10-31,Death,1997-01-08
1377296,1,"Arterton, Janet Bond",U.S. District Court,U.S. District Court for the District of Connecticut,Judge,William J. Clinton,Democratic,,,Well Qualified,CTD0115, ,,1995-01-23,1995-01-23,1995-02-27,Reported (favorably),1995-03-16,Voice,  ,1995-03-24,1995-03-24,,,,,2014-07-01,,
5153446,1,"Ashe, Barry Weldon",U.S. District Court,U.S. District Court for the Eastern District of Louisiana,Judge,Donald J. Trump,Republican,,,Well Qualified,LAED1503,,,2018-01-08,2018-01-08,2018-01-10,Reported (favorably),2018-02-08,Voice,,2018-08-28,2018-08-30,,,,,,,
1377301,1,"Aspen, Marvin E.",U.S. District Court,U.S. District Court for the Northern District of Illinois,Judge,Jimmy Carter,Democratic,,,Well Qualified,ILND1601,92 Stat. 1629,,1979-04-30,1979-04-30,1979-07-09,Reported (favorably),1979-07-17,Voice,  ,1979-07-23,1979-07-24,1995,2002,,,2002-07-01,,
1377311,1,"Atlas, Nancy Friedman",U.S. District Court,U.S. District Court for the Southern District of Texas,Judge,William J. Clinton,Democratic,,,Qualified,TXSD1002, ,,1995-04-04,1995-04-04,1995-06-06,Reported (favorably),1995-06-22,Voice,  ,1995-06-30,1995-06-30,,,,,2014-06-20,,
1391581,1,"Autrey, Henry Edward",U.S. District Court,U.S. District Court for the Eastern District of Missouri,Judge,George W. Bush,Republican,,,Qualified,MOED0702, ,,2002-03-21,2002-03-21,2002-05-23,Reported (favorably),2002-06-13,Roll Call, 98/0,2002-08-01,2002-08-02,,,,,,,
4738061,1,"Axon, Annemarie Carney",U.S. District Court,U.S. District Court for the Northern District of Alabama,Judge,Donald J. Trump,Republican,,,Qualified,ALND1002,,,2018-01-08,2018-01-08,,Reported (favorably),2018-01-18,Roll Call, 83/11,2018-06-06,2018-06-12,,,,,,,
1392641,1,"Aycock, Sharion",U.S. District Court,U.S. District Court for the Northern District of Mississippi,Judge,George W. Bush,Republican,,,Well Qualified,MSND0402, ,,2007-03-19,2007-03-19,2007-07-19,Reported (favorably),2007-09-06,Voice,  ,2007-10-04,2007-10-22,2014,,,,,,
1394716,1,"Azrack, Joan Marie",U.S. District Court,U.S. District Court for the Eastern District of New York,Judge,Barack Obama,Democratic,,,Well Qualified,NYED1402, ,,2014-09-18,2014-09-18,2014-11-13,Reported (favorably),2014-12-11,Voice,  ,2014-12-16,2014-12-19,,,,,,,
1377336,1,"Babcock, Lewis Thornton",U.S. District Court,U.S. District Court for the District of Colorado,Judge,Ronald Reagan,Republican,,,Well Qualified,COD0204, ,,1988-06-23,1988-06-23,1988-08-09,Reported (favorably),1988-10-05,Voice,  ,1988-10-14,1988-10-17,2000,2007,,,2008-04-04,,
1394126,1,"Bacharach, Robert Edwin",U.S. Court of Appeals,U.S. Court of Appeals for the Tenth Circuit,Judge,Barack Obama,Democratic,,,Well Qualified,CA100703, ,,2013-01-04,2013-01-04,,Reported (favorably),2013-02-07,Roll Call, 93/0,2013-02-25,2013-02-28,,,,,,,
8368391,1,"Badalamenti, John Leonard",U.S. District Court,U.S. District Court for the Middle District of Florida,Judge,Donald J. Trump,Republican,,,Well Qualified,FLMD0403,,,2020-02-04,2020-02-04,2020-02-12,Reported (favorably),2020-03-12,Roll Call, 55/22,2020-06-01,2020-06-04,,,,,,,
6202901,1,"Bade, Bridget Shelton",U.S. Court of Appeals,U.S. Court of Appeals for the Ninth Circuit,Judge,Donald J. Trump,Republican,,,Well Qualified,CA91404,,,2019-01-23,2019-01-23,,Reported (favorably),2019-02-07,Roll Call, 78/21,2019-03-26,2019-04-01,,,,,,,
1377341,1,"Baer, Harold, Jr.",U.S. District Court,U.S. District Court for the Southern District of New York,Judge,William J. Clinton,Democratic,,,Well Qualified,NYSD2503, ,,1994-04-26,1994-04-26,1994-07-21,Reported (favorably),1994-08-04,Voice,  ,1994-08-09,1994-08-10,,,,,2004-09-08,Death,2014-05-27
1392541,1,"Bailey, John Preston",U.S. District Court,U.S. District Court for the Northern District of West Virginia,Judge,George W. Bush,Republican,,,Qualified,WVND0303, ,,2007-01-09,2007-01-09,2007-02-06,Reported (favorably),2007-03-01,Voice,  ,2007-03-15,2007-03-19,2008,2015,,,,,
1377351,1,"Baird, Lourdes Gillespie",U.S. District Court,U.S. District Court for the Central District of California,Judge,George H.W. Bush,Republican,,,Well Qualified,CACD2301,104 Stat. 5089,,1992-04-02,1992-04-02,1992-07-01,Reported (favorably),1992-07-30,Voice,  ,1992-08-11,1992-08-12,,,,,2004-05-12,Retirement,2005-04-15
1377361,1,"Baker, Harold Albert",U.S. District Court,U.S. District Court for the Eastern District of Illinois,Judge,Jimmy Carter,Democratic,,,Exceptionally Well Qualified,ILED0204, ,,1978-08-09,1978-08-09,1978-09-06,Reported (favorably),1978-09-20,Voice,  ,1978-09-22,1978-09-23,,,,,,Reassignment,1979-03-31
1393971,1,"Baker, Kristine Gerhard",U.S. District Court,U.S. District Court for the Eastern District of Arkansas,Judge,Barack Obama,Democratic,,,Well Qualified,ARED0503, ,,2011-11-02,2011-11-02,2012-01-26,Reported (favorably),2012-02-16,Voice,  ,2012-05-07,2012-05-08,,,,,,,
6841726,1,"Baker, M. Miller",Other,U.S. Court of International Trade,Judge,Donald J. Trump,Republican,,,Qualified,CIT0503,,,2019-01-23,2019-01-23,,Reported (favorably),2019-02-07,Voice,,2019-08-01,2019-12-18,,,,,,,
5152936,1,"Baker, R. Stan",U.S. District Court,U.S. District Court for the Southern District of Georgia,Judge,Donald J. Trump,Republican,,,Well Qualified,GASD0303,,,2017-09-07,2017-09-07,2017-12-13,Reported (favorably),2018-01-18,Voice,,2018-08-28,2018-08-30,,,,,,,
1377376,1,"Baldock, Bobby Ray",U.S. District Court,U.S. District Court for the District of New Mexico,Judge,Ronald Reagan,Republican,,,Qualified,NMD0402, ,,1983-05-02,1983-05-02,1983-05-18,Reported (favorably),1983-05-26,Voice,  ,1983-06-06,1983-06-07,,,,,,Appointment to Another Judicial Position,1986-01-24
1377376,2,"Baldock, Bobby Ray",U.S. Court of Appeals,U.S. Court of Appeals for the Tenth Circuit,Judge,Ronald Reagan,Republican,,,Qualified,CA100204, ,,1985-10-07,1985-10-07,1985-10-30,Reported (favorably),1985-11-14,Voice,  ,1985-12-16,1985-12-17,,,,,2001-01-26,,
1377401,1,"Ballantine, Thomas Austin, Jr.",U.S. District Court,U.S. District Court for the Western District of Kentucky,Judge,Jimmy Carter,Democratic,,,Well Qualified,KYWD0402, ,,1977-09-27,1977-09-27,1977-10-06,Reported (favorably),1977-10-11,Voice,  ,1977-10-12,1977-10-12,1990,1991,,,1991-11-29,Death,1992-02-18
1377416,1,"Barbadoro, Paul J.",U.S. District Court,U.S. District Court for the District of New Hampshire,Judge,George H.W. Bush,Republican,,,Well Qualified,NHD0111, ,,1992-09-09,1992-09-09,1992-09-24,Reported (favorably),1992-10-07,Voice,  ,1992-10-08,1992-10-09,1997,2004,,,,,
